id;nome;data_nascimento;cpf;rg
1;EXE projection Fresh;2019-11-12;Direct;Profit-focused
2;Jewelery cutting-edge;2019-11-12;Hat;supply-chains magenta
3;encompassing;2019-11-12;Gloves sky blue Oklahoma;robust Engineer
4;Exclusive Moroccan Dirham card;2019-11-12;Supervisor;Personal Loan Account
5;paradigms Home;2019-11-12;deposit Canadian Dollar Lebanon;Designer Persistent
6;Handmade 24/7 Re-contextualized;2019-11-12;Point Orchestrator;Solomon Islands Licensed
7;Gloves Bedfordshire Argentine Peso;2019-11-12;neural-net red;Buckinghamshire Future-proofed deposit
8;Quality;2019-11-12;Cambridgeshire hacking;bricks-and-clicks Concrete Global
9;Fiji Dollar Profound Bacon;2019-11-12;Borders content-based;Tasty Customer Human
10;pink even-keeled;2019-11-12;programming SCSI drive;invoice Unbranded Cheese
